2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:16:21,590.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:21,591.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:26,621.FinalProject.INFO Prepared binary message b'[1714207,B]'....
2023-10-06 23:16:26,652.FinalProject.INFO Prepared binary message b'[1714207,3.00]'....
2023-10-06 23:16:31,672.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:31,694.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:36,754.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:36,765.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:41,783.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:41,792.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:46,816.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:46,847.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:51,865.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:51,887.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:56,935.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:56,957.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:17:01,982.FinalProject.INFO Prepared binary message b'[1715053,IN]'....
2023-10-06 23:17:02,002.FinalProject.INFO Prepared binary message b'[1715053,0.00]'....
2023-10-06 23:17:07,032.FinalProject.INFO Prepared binary message b'[1715053,IN]'....
2023-10-06 23:17:07,043.FinalProject.INFO Prepared binary message b'[1715053,0.00]'....
2023-10-06 23:17:12,069.FinalProject.INFO Prepared binary message b'[1715053,IN]'....
2023-10-06 23:17:12,100.FinalProject.INFO Prepared binary message b'[1715053,0.00]'....
2023-10-06 23:17:17,120.FinalProject.INFO Prepared binary message b'[1715568,B-]'....
2023-10-06 23:17:17,130.FinalProject.INFO Prepared binary message b'[1715568,2.70]'....
2023-10-06 23:17:22,142.FinalProject.INFO Prepared binary message b'[1715568,A-]'....
2023-10-06 23:17:22,167.FinalProject.INFO Prepared binary message b'[1715568,3.70]'....
